TRDE_CD,VSL_SVCE_LANE_CD,VSL_CD,SCH_VOY_NR,SCH_DIR_CD,BSA_EFCT_FM_DT,TEU_CAPA,RF_CAPA
FET,MIM,BRFT,0005,E,2025/03/04 21:00:00,1260,280
LET,CX1,CYCT,0524,S,2025/06/12 07:00:00,1800,200
LET,CX1,CYCT,0516,N,2025/04/22 14:00:00,1800,200
LET,CX1,GMET,0526,S,2025/06/26 07:00:00,1800,200
LWT,AX1,SSPT,2525,E,2025/06/17 20:00:00,9000,1200
NET,FP2,SADT,0080,W,2025/09/27 14:00:00,9600,1000
EAT,PHX,JJST,0016,S,2025/05/02 03:00:00,1900,300
EAT,PHX,JJST,0019,N,2025/06/06 14:00:00,1900,300
TPT,EC2,ONGT,0027,W,2025/05/29 19:00:00,12200,800
FWT,AIM,NVIT,2511,E,2025/04/18 06:00:00,2850,300
FET,EA3,LTST,0514,E,2025/05/01 04:00:00,3333,300
FET,EA3,LTST,0521,E,2025/06/19 04:00:00,3333,300
LET,CX1,CYCT,0523,S,2025/06/05 07:00:00,1800,200
FWT,SW2,ORPT,0008,W,2025/06/06 09:00:00,2400,300
TPT,AHX,TLHT,0072,W,2025/01/23 05:00:00,860,86
TPT,EC3,OWRT,0026,E,2025/03/08 05:00:00,12200,800
TPT,EC3,OTNT,0041,E,2025/03/01 05:00:00,12500,800
TPT,EC2,OSTT,0025,E,2025/02/18 12:00:00,12200,800
TPT,EC2,ONGT,0027,E,2025/04/22 12:00:00,12200,800
NET,FE3,ZPLT,0015,E,2025/05/15 19:00:00,13500,1000
FWT,SW2,SZFT,0005,E,2025/05/24 14:00:00,2400,300
FWT,SW2,ORPT,0007,E,2025/04/26 14:00:00,2400,300
WAT,TE1,BHHT,0009,E,2025/04/05 09:00:00,2600,260
TPT,EC3,OONT,0041,E,2025/05/24 05:00:00,12500,800
NET,FP1,HSMT,0086,E,2025/03/13 12:00:00,8200,800
TPT,EC3,OMIT,0041,E,2025/05/10 05:00:00,12500,800
NET,FP2,MXPT,0001,W,2025/04/10 21:00:00,9600,1000
TPT,FP2,LIAT,0065,E,2025/05/31 15:00:00,9700,700
WAT,NCI,OEAT,0080,W,2025/03/21 22:00:00,1000,100
WAT,AG3,SFDT,0077,W,2025/04/22 06:00:00,10000,1000
EAT,JSM,TDNT,0019,N,2025/03/15 21:00:00,1000,100
EAT,PH3,SEUT,0035,E,2025/04/12 16:00:00,860,100
EAT,JSM,BSKT,0002,S,2025/03/29 06:00:00,1000,100
EFT,SRX,OLUT,0251,S,2025/04/21 08:00:00,5600,1176
NET,FP1,HKGT,0085,W,2025/06/04 14:00:00,8200,800
TAT,EMA,KGST,0014,W,2025/06/13 05:00:00,2850,300
TPT,EC3,OONT,0041,W,2025/07/13 04:30:00,12500,800
NET,FP2,NMOT,0016,W,2025/10/02 21:00:00,9600,1000
EAT,JSM,TDNT,0018,N,2025/02/15 21:00:00,1000,100
TAT,AL5,NRET,0079,E,2025/07/10 02:00:00,3800,330
EAT,JSM,DIAT,0344,N,2025/04/19 21:00:00,1000,100
TAT,AT2,BRNT,0016,E,2025/05/24 07:00:00,5800,347
TAT,AT2,ARUT,0226,W,2025/02/14 04:00:00,5800,347
MET,MS2,FANT,0005,W,2025/03/16 08:00:00,13500,1300
TAT,AT2,BRNT,0015,W,2025/03/08 12:00:00,5800,347
TAT,AT4,OMVT,0075,E,2025/04/29 02:30:00,5700,500
MET,MS2,REDT,0009,W,2025/03/09 08:00:00,13500,1300
EAT,JID,SIKT,0001,N,2025/02/22 05:00:00,1000,100
TAT,AL5,NROT,0074,E,2025/07/03 02:00:00,3800,330
EAT,PH3,SEUT,0036,W,2025/05/02 09:00:00,860,100
IET,PLS,LAAT,0007,N,2025/02/19 08:00:00,1000,100
IET,PLS,LAAT,0009,S,2025/03/18 15:00:00,1000,0
EAT,JID,VTAT,0143,N,2025/08/30 18:00:00,1000,100
TPT,FP2,OMIT,0043,W,2026/01/15 21:00:00,9700,700
NET,FE4,ZELT,0018,E,2025/07/16 06:00:00,13500,1000
EAT,JK1,CNFT,0223,W,2025/07/19 07:00:00,900,90
EAT,JK1,CNFT,0225,W,2025/08/02 07:00:00,900,90
EAT,JSM,BSKT,0006,S,2025/07/26 09:00:00,1000,100
EAT,JSM,BSKT,0006,N,2025/08/09 21:00:00,1000,100
EAT,JK1,CNFT,0224,E,2025/07/23 13:00:00,900,90
EAT,JT1,XCLT,0313,S,2025/07/09 22:00:00,2200,200
EAT,JK2,ICLT,0169,E,2025/07/15 02:00:00,25,10
EAT,JK2,ICLT,0179,W,2025/09/24 08:00:00,25,10
EAT,JT1,OTTT,0516,S,2025/08/13 22:00:00,2050,350
EAT,JT1,XLHT,2516,S,2025/09/17 22:00:00,2200,200
EAT,JT1,OTTT,0515,S,2025/07/23 22:00:00,2050,350
EAT,JPH,LSFT,0222,S,2025/07/05 15:00:00,1950,240
EAT,JPH,LSFT,0223,N,2025/08/07 21:00:00,1950,240
EAT,JPH,TDNT,0030,S,2025/09/13 15:00:00,1000,100
EAT,JPH,TDNT,0026,S,2025/06/21 15:00:00,1000,100
EAT,JPH,SZET,2141,N,2025/07/31 21:00:00,1900,200
EAT,KC2,NIST,0173,N,2025/08/07 07:00:00,2100,200
WAT,PS3,ONNT,0059,W,2025/01/19 04:00:00,,
EAT,JSM,APRT,0278,S,2025/09/13 09:00:00,1000,100
EAT,JSM,DIAT,0349,N,2025/09/13 21:00:00,1000,100
WAT,PS3,CCQT,0030,E,2025/01/23 18:00:00,7350,700
EAT,JSM,DIAT,0349,S,2025/08/30 09:00:00,1000,100
EAT,JSM,APRT,0277,N,2025/08/30 21:00:00,1000,100
NET,FP2,ONYT,0022,E,2025/09/29 17:00:00,9700,700
NET,FP2,PFFT,0013,E,2025/07/12 15:00:00,9600,1000
TPT,PS3,SEFT,0096,E,2025/04/07 17:00:00,8200,700
NET,FP2,SPDT,0436,E,2025/05/24 15:00:00,9700,700
EAT,JID,NGOT,0020,N,2025/08/09 18:00:00,1000,100
TPT,PN1,OMUT,0088,E,2025/12/18 05:00:00,5800,500
TPT,PN1,ODGT,0078,W,2025/11/13 17:00:00,5900,350
TPT,PN1,ODGT,0079,E,2025/12/11 05:00:00,5900,500
EAT,JV2,CBDT,0273,N,2025/07/19 21:00:00,2000,250
TPT,PN1,ODGT,0079,W,2026/01/01 17:00:00,5900,500
TPT,MS2,FANT,0006,E,2025/05/02 06:00:00,13500,1300
TPT,MS2,OFVT,0005,W,2025/06/23 04:00:00,13500,1300
TPT,FP2,SPDT,0001,W,2025/12/27 14:00:00,9600,1000
TPT,FP1,NVOT,0086,E,2025/01/30 12:00:00,8200,800
TPT,MS2,FRNT,0007,E,2025/03/28 06:00:00,13500,1300
TPT,PN1,ODGT,0077,W,2025/09/25 17:00:00,5900,500
WAT,PS3,MITT,0067,W,2025/01/12 04:00:00,,
EAT,CTP,NEOT,0036,N,2025/08/10 07:00:00,2000,200
EAT,CTP,NEOT,0035,S,2025/07/25 21:00:00,2000,200
TPT,FP1,OHST,0059,E,2025/02/27 12:00:00,8200,800
TPT,FP1,OHIT,0061,E,2025/01/23 12:00:00,8200,800
NET,FP2,YDET,0041,E,2025/10/18 15:00:00,9700,700
TPT,FP1,OOLT,0076,E,2025/01/09 12:00:00,8200,784
FET,SAC,NFUT,0024,W,2025/08/19 03:00:00,3800,480
FWT,AIM,AXBT,2530,W,2025/07/25 05:00:00,2850,225
FWT,AIM,NVIT,2533,W,2025/08/15 05:00:00,2000,200
FWT,AIM,AHHT,2532,W,2025/08/08 05:00:00,2850,225
FWT,AIM,DLAT,2531,W,2025/08/01 05:00:00,2850,225
WAT,TIP,GWBT,0037,W,2025/03/22 23:00:00,4200,420
WAT,TIP,HYKT,0006,E,2025/06/30 17:00:00,4200,420
WAT,TIP,ERNT,0106,W,2025/04/15 02:00:00,4200,420
FWT,AIM,DLAT,2531,E,2025/09/05 06:00:00,2850,225
TPT,PS7,SPBT,0436,E,2025/07/02 10:00:00,8900,900
WAT,TIP,ERNT,0108,E,2025/07/07 17:00:00,4200,420
FET,EA3,LTST,0528,E,2025/08/07 04:00:00,3333,300
FET,EA4,NCAT,0537,W,2025/09/11 16:00:00,1900,200
FET,MIM,BRFT,0009,W,2025/08/05 17:00:00,1300,195
TPT,EC3,OMNT,0026,E,2025/05/17 05:00:00,12500,800
FET,SAS,SNTT,0117,E,2025/09/24 12:00:00,3800,300
FET,SAS,NFJT,0132,W,2025/08/14 12:00:00,3800,430
TAT,EMA,EDWT,0096,W,2025/06/27 05:00:00,2850,300
EAT,PH3,SEUT,0041,E,2025/07/05 16:00:00,860,100
EAT,PH3,SEUT,0041,W,2025/07/11 09:00:00,860,100
TAT,AT2,ARUT,0229,E,2025/07/12 07:00:00,5800,347
EAT,PH3,SEUT,0044,W,2025/08/22 09:00:00,860,100
OCT,NZJ,SNKT,0122,S,2025/04/24 13:00:00,3300,500
FET,SAC,BKGT,0509,E,2025/06/08 04:00:00,3300,300
IET,ST2,IGGT,0053,W,2025/06/13 17:00:00,1000,100
IET,ST2,IGGT,0052,E,2025/06/04 05:00:00,1000,100
TPT,EC2,OIIT,0033,E,2025/05/06 12:00:00,12200,800
EAT,JID,BFGT,0003,N,2025/06/21 18:00:00,1000,100
FWT,AIM,DLAT,2541,E,2025/11/21 06:00:00,2850,225
FWT,AIM,DLAT,2541,W,2025/10/17 05:00:00,2850,225
LET,SX2,NRUT,0071,E,2025/07/09 11:00:00,400,50
LUT,LUX,NDMT,0118,N,2025/04/25 23:00:00,3200,330
LWT,AX2,OITT,2517,W,2025/05/27 15:00:00,8500,100
NET,FP1,HMIT,0083,W,2025/12/10 14:00:00,8200,800
TPT,FP2,CNTT,0020,W,2025/06/26 21:00:00,9700,700
NET,FP1,HKGT,0086,W,2025/10/22 14:00:00,8200,800
NET,FP1,ONZT,0060,W,2025/12/24 14:00:00,8200,800
LET,SX1,OZAT,2532,W,2025/08/08 02:00:00,9150,1400
TPT,WIN,OTHT,0092,E,2025/07/17 13:00:00,,
TPT,WIN,OXMT,0074,W,2025/06/27 13:30:00,,
TPT,WIN,TIVT,0074,W,2025/08/01 13:30:00,,
NET,FP1,NVOT,0088,E,2025/11/27 12:00:00,8200,800
LET,SX1,SNPT,2538,E,2025/11/03 06:00:00,9150,1400
TPT,WIN,OMFT,0080,E,2025/04/24 13:00:00,,
LET,SX2,NDDT,0093,W,2025/07/03 16:00:00,400,50
MET,IOM,YDJT,0044,E,2025/06/04 21:00:00,1000,100
LNT,ANG,RDVT,2536,S,2025/09/03 11:00:00,4200,400
EAT,JSM,WQTT,0017,N,2025/11/15 21:00:00,1000,100
EAT,JT1,OTTT,0518,N,2025/10/05 12:00:00,2050,350
EAT,JT1,OTTT,0521,S,2025/11/26 22:00:00,2050,350
EAT,JT1,OTTT,0519,N,2025/10/26 12:00:00,2050,350
EAT,JVH,SWDT,0011,N,2025/11/16 20:00:00,1300,195
EAT,JID,NGOT,0024,N,2025/12/13 18:00:00,1000,100
EAT,SMM,FLNT,0945,S,2025/07/08 02:30:00,900,135
EAT,JID,LOVT,0037,N,2025/11/29 18:00:00,2800,12
EAT,JID,BFGT,0005,N,2025/08/16 18:00:00,1000,100
EAT,JK1,CNFT,0238,E,2025/10/29 13:00:00,900,90
EAT,JK1,CNFT,0232,E,2025/09/17 13:00:00,900,90
OCT,AU1,CNOT,0546,N,2025/11/11 03:00:00,7200,700
EAT,JSM,WQTT,0017,S,2025/11/01 09:00:00,1000,100
EAT,JSM,BSKT,0010,N,2025/11/29 21:00:00,1000,100
EAT,JSM,DIAT,0352,N,2025/12/06 21:00:00,1000,100
EAT,JV2,YPLT,1027,N,2025/11/29 21:00:00,2000,250
TPT,PS3,OART,0074,E,2025/10/09 21:00:00,8200,700
WAT,TIP,DINT,0006,E,2025/06/08 13:00:00,4200,420
NET,TSX,PPPT,0079,S,2025/12/23 06:00:00,1000,100
WAT,TIP,GWBT,0042,W,2025/09/30 01:00:00,4200,420
WAT,TIP,BFHT,0001,W,2025/06/17 02:00:00,4200,420
EAT,PHX,LSPT,0016,S,2025/12/19 03:00:00,1900,300
EAT,PHX,LSPT,0013,N,2025/10/31 14:00:00,1900,300
EAT,KCS,RCMT,0087,S,2025/09/27 11:00:00,2000,99
TPT,FP1,OOLT,0077,W,2025/08/20 14:00:00,8200,784
TPT,FP1,HSMT,0087,W,2025/09/17 14:00:00,8200,800
TPT,FP1,NVOT,0087,W,2025/09/24 14:00:00,8200,800
OCT,WAU,XIMT,0528,S,2025/07/07 06:00:00,2750,300
OCT,WAU,GRET,0536,N,2025/09/04 05:30:00,2750,300
LET,SX2,R2JT,0015,W,2025/09/17 04:30:00,400,50
LET,SX2,ERNT,0110,W,2025/08/28 16:00:00,400,50
IET,LEX,NOTT,0006,N,2025/08/18 07:00:00,2100,240
LET,CX1,GMET,0527,S,2025/07/03 07:00:00,1800,200
IET,LEX,LTRT,0034,S,2025/05/14 03:00:00,2000,240
FWT,WA1,WBKT,0033,W,2025/10/05 20:00:00,2800,120
IET,ST2,SDBT,0052,E,2025/08/06 05:00:00,1000,100
IET,ST2,SDBT,0050,W,2025/06/13 17:00:00,1200,150
LWT,AX1,HPHT,2537,E,2025/09/09 20:00:00,8500,1000
LWT,AX1,OPPT,2535,E,2025/08/26 20:00:00,8500,1000
LET,SX2,NRUT,0073,E,2025/12/31 05:00:00,400,50
LET,SX1,OZAT,2548,E,2026/01/12 06:00:00,9150,1400
LWT,AX3,SPBT,0101,W,2025/12/31 03:00:00,8900,1000
EAT,PH3,SEUT,0050,W,2025/11/21 09:00:00,860,100
EAT,PH3,SEUT,0047,W,2025/10/03 09:00:00,860,100
LWT,AX3,SPBT,0101,E,2025/11/29 04:00:00,8900,1000
LET,CX1,GMET,0535,S,2025/08/28 07:00:00,1800,200
LET,CX1,CYCT,0533,N,2025/08/19 14:00:00,1800,200
LET,CX1,CYCT,0545,N,2025/11/11 14:00:00,1800,200
FET,EA3,LTST,0543,E,2025/11/20 04:00:00,3333,300
FET,EA4,NCAT,0544,W,2025/10/30 16:00:00,1900,200
FET,EA4,ZGST,0540,E,2025/10/26 06:00:00,1000,100
EAT,JK2,STYT,0175,W,2025/08/27 08:00:00,25,10
EAT,KCS,RCMT,0088,N,2025/11/12 11:00:00,2000,99
IET,IBC,RI1T,0074,S,2025/09/29 15:00:00,1000,100
TPT,PS3,NVTT,0092,W,2025/12/07 03:00:00,8200,700
TPT,PS3,CIKT,1002,W,2025/10/12 03:00:00,7200,630
WAT,CCX,RJ1T,0006,W,2025/09/02 09:00:00,2850,300
TPT,FP1,OHST,0060,W,2025/07/15 06:30:00,8200,800
LWT,AX3,OPKT,2536,E,2025/09/13 04:00:00,8900,1000
