[Base Data Table Definition]
Generated At,2026-02-10 14:06:04

Table Name,Column Name,Data Type,Nullable,Description (Comment)
base_schedule_proforma,terminal_code,character varying,NO,Terminal Code
base_vessel_capacity,trade_code,character varying,NO,Trade Code
base_vessel_capacity,lane_code,character varying,NO,Lane Code
base_vessel_capacity,vessel_code,character varying,NO,Vessel Code
base_vessel_capacity,voyage_number,character varying,NO,Voyage Number
base_vessel_capacity,direction,character varying,NO,Direction
base_vessel_capacity,teu_capacity,integer,NO,TEU Capacity
base_vessel_capacity,reefer_capacity,integer,NO,Reefer Capacity
base_vessel_charter_cost,vessel_code,character varying,NO,Vessel Code
base_vessel_charter_cost,hire_from_date,timestamp with time zone,NO,Hire From Date
base_vessel_charter_cost,hire_to_date,timestamp with time zone,NO,Hire To Date
base_vessel_charter_cost,hire_rate,numeric,NO,Hire Rate
base_vessel_info,vessel_code,character varying,NO,Vessel Code
base_vessel_info,vessel_name,character varying,NO,Vessel Name
base_vessel_info,nominal_capacity,integer,NO,Nominal Capacity
base_vessel_info,own_yn,character varying,NO,Own YN
base_vessel_info,delivery_port_code,character varying,YES,Delivery Port Code
base_vessel_info,delivery_date,timestamp with time zone,YES,Delivery Date
base_vessel_info,redelivery_port_code,character varying,YES,Redelivery Port Code
base_vessel_info,redelivery_date,timestamp with time zone,YES,Redelivery Date
base_vessel_info,next_dock_port_code,character varying,YES,Next Dock Port Code
base_vessel_info,next_dock_in_date,timestamp with time zone,YES,Next Dock In Date
base_vessel_info,next_dock_out_date,timestamp with time zone,YES,Next Dock Out Date
base_vessel_info,built_port_code,character varying,YES,Built Port Code
base_vessel_info,built_date,character varying,YES,Built Date
base_week_period,created_at,timestamp with time zone,NO,Created At
base_week_period,updated_at,timestamp with time zone,NO,Updated At
base_week_period,base_year,integer,NO,Base Year
base_week_period,base_week,integer,NO,Base Week
base_week_period,base_month,integer,NO,Base Month
base_week_period,week_start_date,timestamp with time zone,NO,Week Start
base_week_period,week_end_date,timestamp with time zone,NO,Week End
base_week_period,created_by_id,integer,YES,Created By
base_week_period,updated_by_id,integer,YES,Updated By
