"base_year_month","vessel_capacity","port_stay_bunker_consumption","idling_bunker_consumption","pilot_inout_bunker_consumption"
"202501",4460,0.440,0.000,1.800
"202501",4470,0.440,0.000,1.800
"202501",4480,0.440,0.000,1.800
"202501",4490,0.440,0.000,1.800
"202501",4500,0.440,0.000,1.800
"202501",4510,0.440,0.000,1.800
"202501",4520,0.440,0.000,1.800
"202501",4530,0.440,0.000,1.800
"202501",4540,0.440,0.000,1.800
"202501",4550,0.440,0.000,1.800
"202501",4560,0.440,0.000,1.800
"202501",4570,0.440,0.000,1.800
"202501",4580,0.440,0.000,1.800
"202501",4590,0.440,0.000,1.800
"202501",4600,0.440,0.000,1.800
"202501",4610,0.440,0.000,1.800
"202501",4620,0.440,0.000,1.800
"202501",4630,0.440,0.000,1.800
"202501",4640,0.440,0.000,1.800
"202501",4650,0.440,0.000,1.800
"202501",4660,0.440,0.000,1.800
"202501",4670,0.440,0.000,1.800
"202501",4680,0.440,0.000,1.800
"202501",4690,0.440,0.000,1.800
"202501",4700,0.440,0.000,1.800
"202501",4710,0.440,0.000,1.800
"202501",4720,0.440,0.000,1.800
"202501",4730,0.440,0.000,1.800
"202501",4740,0.440,0.000,1.800
"202501",4750,0.440,0.000,1.800
"202501",4760,0.440,0.000,1.800
"202501",4770,0.440,0.000,1.800
"202501",4780,0.440,0.000,1.800
"202501",4790,0.440,0.000,1.800
"202501",4800,0.440,0.000,1.800
"202501",4810,0.440,0.000,1.800
"202501",4820,0.440,0.000,1.800
"202501",4830,0.440,0.000,1.800
"202501",4840,0.440,0.000,1.800
"202501",4850,0.440,0.000,1.800
"202501",4860,0.440,0.000,1.800
"202501",4870,0.440,0.000,1.800
"202501",4880,0.440,0.000,1.800
"202501",4890,0.440,0.000,1.800
"202501",4900,0.440,0.000,1.800
"202501",4910,0.440,0.000,1.800
"202501",4920,0.440,0.000,1.800
"202501",4930,0.440,0.000,1.800
"202501",4940,0.440,0.000,1.800
"202501",4950,0.440,0.000,1.800
"202501",4960,0.440,0.000,1.800
"202501",4970,0.440,0.000,1.800
"202501",4980,0.440,0.000,1.800
"202501",4990,0.440,0.000,1.800
"202501",5000,0.440,0.000,1.800
"202501",5010,0.440,0.000,1.800
"202501",5020,0.440,0.000,1.800
"202501",5030,0.440,0.000,1.800
"202501",5040,0.440,0.000,1.800
"202501",5050,0.440,0.000,1.800
"202501",5060,0.440,0.000,1.800
"202501",5070,0.440,0.000,1.800
"202501",5080,0.440,0.000,1.800
"202501",5090,0.440,0.000,1.800
"202501",5100,0.440,0.000,1.800
"202501",5110,0.440,0.000,1.800
"202501",5120,0.440,0.000,1.800
"202501",5130,0.440,0.000,1.800
"202501",5140,0.440,0.000,1.800
"202501",5150,0.440,0.000,1.800
"202501",5160,0.440,0.000,1.800
"202501",5170,0.440,0.000,1.800
"202501",5180,0.440,0.000,1.800
"202501",5190,0.440,0.000,1.800
"202501",5200,0.440,0.000,1.800
"202501",5210,0.440,0.000,1.800
"202501",5220,0.440,0.000,1.800
"202501",5230,0.440,0.000,1.800
"202501",5240,0.440,0.000,1.800
"202501",5250,0.440,0.000,1.800
"202501",5260,0.440,0.000,1.800
"202501",5270,0.440,0.000,1.800
"202501",5280,0.440,0.000,1.800
"202501",5320,0.440,0.000,1.800
"202501",5290,0.440,0.000,1.800
"202501",5300,0.440,0.000,1.800
"202501",5310,0.440,0.000,1.800
"202501",5330,0.440,0.000,1.800
"202501",5340,0.440,0.000,1.800
"202501",5350,0.440,0.000,1.800
"202501",5360,0.440,0.000,1.800
"202501",5370,0.440,0.000,1.800
"202501",5380,0.440,0.000,1.800
"202501",5390,0.440,0.000,1.800
"202501",5400,0.490,0.000,1.900
"202501",5410,0.490,0.000,1.900
"202501",5420,0.490,0.000,1.900
"202501",5430,0.490,0.000,1.900
"202501",5440,0.490,0.000,1.900
"202501",5450,0.490,0.000,1.900
"202501",5460,0.490,0.000,1.900
"202501",5470,0.490,0.000,1.900
"202501",5480,0.490,0.000,1.900
"202501",5490,0.490,0.000,1.900
"202501",5500,0.490,0.000,1.900
"202501",5510,0.490,0.000,1.900
"202501",5520,0.490,0.000,1.900
"202501",5530,0.490,0.000,1.900
"202501",5540,0.490,0.000,1.900
"202501",5550,0.490,0.000,1.900
"202501",5560,0.490,0.000,1.900
"202501",5570,0.490,0.000,1.900
"202501",5580,0.490,0.000,1.900
"202501",5590,0.490,0.000,1.900
"202501",5600,0.490,0.000,1.900
"202501",5610,0.490,0.000,1.900
"202501",5620,0.490,0.000,1.900
"202501",5630,0.490,0.000,1.900
"202501",5640,0.490,0.000,1.900
"202501",5650,0.490,0.000,1.900
"202501",5660,0.490,0.000,1.900
"202501",5670,0.490,0.000,1.900
"202501",5680,0.490,0.000,1.900
"202501",5690,0.490,0.000,1.900
"202501",5700,0.490,0.000,1.900
"202501",5710,0.490,0.000,1.900
"202501",5720,0.490,0.000,1.900
"202501",5730,0.490,0.000,1.900
"202501",5740,0.490,0.000,1.900
"202501",5750,0.490,0.000,1.900
"202501",5760,0.490,0.000,1.900
"202501",5770,0.490,0.000,1.900
"202501",5780,0.490,0.000,1.900
"202501",5790,0.490,0.000,1.900
"202501",5800,0.490,0.000,1.900
"202501",5810,0.490,0.000,1.900
"202501",5820,0.490,0.000,1.900
"202501",5830,0.490,0.000,1.900
"202501",5840,0.490,0.000,1.900
"202501",5850,0.490,0.000,1.900
"202501",5860,0.490,0.000,1.900
"202501",5870,0.490,0.000,1.900
"202501",5880,0.490,0.000,1.900
"202501",5890,0.490,0.000,1.900
"202501",5900,0.490,0.000,1.900
"202501",5910,0.490,0.000,1.900
"202501",5920,0.490,0.000,1.900
"202501",5930,0.490,0.000,1.900
"202501",5940,0.490,0.000,1.900
"202501",5950,0.490,0.000,1.900
"202501",5960,0.490,0.000,1.900
"202501",5970,0.490,0.000,1.900
"202501",5980,0.490,0.000,1.900
"202501",5990,0.490,0.000,1.900
"202501",6000,0.490,0.000,1.900
"202501",6010,0.490,0.000,1.900
"202501",6020,0.490,0.000,1.900
"202501",6030,0.490,0.000,1.900
"202501",6040,0.490,0.000,1.900
"202501",6050,0.490,0.000,1.900
"202501",6060,0.490,0.000,1.900
"202501",6070,0.490,0.000,1.900
"202501",6080,0.490,0.000,1.900
"202501",6090,0.490,0.000,1.900
"202501",6100,0.490,0.000,1.900
"202501",6110,0.490,0.000,1.900
"202501",6120,0.490,0.000,1.900
"202501",6130,0.490,0.000,1.900
"202501",6140,0.490,0.000,1.900
"202501",6150,0.490,0.000,1.900
"202501",6160,0.490,0.000,1.900
"202501",6170,0.490,0.000,1.900
"202501",6180,0.490,0.000,1.900
"202501",6190,0.490,0.000,1.900
"202501",6200,0.490,0.000,1.900
"202501",6210,0.490,0.000,1.900
"202501",6220,0.490,0.000,1.900
"202501",6230,0.490,0.000,1.900
"202501",6240,0.490,0.000,1.900
"202501",6250,0.490,0.000,1.900
"202501",6260,0.490,0.000,1.900
"202501",6270,0.490,0.000,1.900
"202501",6280,0.490,0.000,1.900
"202501",6290,0.490,0.000,1.900
"202501",6300,0.490,0.000,1.900
"202501",6310,0.490,0.000,1.900
"202501",6320,0.490,0.000,1.900
"202501",6330,0.490,0.000,1.900
"202501",6340,0.490,0.000,1.900
"202501",6350,0.490,0.000,1.900
"202501",6360,0.490,0.000,1.900
"202501",6370,0.490,0.000,1.900
"202501",6380,0.490,0.000,1.900
"202501",6390,0.490,0.000,1.900
"202501",6400,0.490,0.000,1.900
"202501",6410,0.490,0.000,1.900
"202501",6420,0.490,0.000,1.900
"202501",6430,0.490,0.000,1.900
"202501",6440,0.490,0.000,1.900
"202501",6450,0.490,0.000,1.900
"202501",6460,0.490,0.000,1.900
"202501",6470,0.490,0.000,1.900
"202501",6500,0.490,0.000,1.950
"202501",6480,0.490,0.000,1.900
"202501",6490,0.490,0.000,1.900
"202501",6510,0.490,0.000,1.950
"202501",6520,0.490,0.000,1.950
"202501",6530,0.490,0.000,1.950
"202501",6540,0.490,0.000,1.950
"202501",6550,0.490,0.000,1.950
"202501",6560,0.490,0.000,1.950
"202501",6570,0.490,0.000,1.950
"202501",6580,0.490,0.000,1.950
"202501",6590,0.490,0.000,1.950
"202501",6600,0.490,0.000,1.950
"202501",6610,0.490,0.000,1.950
"202501",6620,0.490,0.000,1.950
"202501",6630,0.490,0.000,1.950
"202501",6640,0.490,0.000,1.950
"202501",6650,0.490,0.000,1.950
"202501",6660,0.490,0.000,1.950
"202501",6670,0.490,0.000,1.950
"202501",6680,0.490,0.000,1.950
"202501",6690,0.490,0.000,1.950
"202501",6700,0.490,0.000,1.950
"202501",6710,0.490,0.000,1.950
"202501",6720,0.490,0.000,1.950
"202501",6730,0.490,0.000,1.950
"202501",6740,0.490,0.000,1.950
"202501",6750,0.490,0.000,1.950
"202501",6760,0.490,0.000,1.950
"202501",6770,0.490,0.000,1.950
"202501",6780,0.490,0.000,1.950
"202501",6790,0.490,0.000,1.950
"202501",6800,0.490,0.000,1.950
"202501",6810,0.490,0.000,1.950
"202501",6820,0.490,0.000,1.950
"202501",6830,0.490,0.000,1.950
"202501",6840,0.490,0.000,1.950
"202501",6850,0.490,0.000,1.950
"202501",6860,0.490,0.000,1.950
"202501",6870,0.490,0.000,1.950
"202501",6880,0.490,0.000,1.950
"202501",6890,0.490,0.000,1.950
"202501",6900,0.490,0.000,1.950
"202501",6910,0.490,0.000,1.950
"202501",6920,0.490,0.000,1.950
"202501",6930,0.490,0.000,1.950
"202501",6940,0.490,0.000,1.950
"202501",6950,0.490,0.000,1.950
"202501",6960,0.490,0.000,1.950
"202501",6970,0.490,0.000,1.950
"202501",6980,0.490,0.000,1.950
"202501",6990,0.490,0.000,1.950
"202501",7000,0.490,0.000,1.950
"202501",7010,0.490,0.000,1.950
"202501",7020,0.490,0.000,1.950
"202501",7030,0.490,0.000,1.950
"202501",7040,0.490,0.000,1.950
"202501",7050,0.490,0.000,1.950
"202501",7060,0.490,0.000,1.950
"202501",7070,0.490,0.000,1.950
"202501",7080,0.490,0.000,1.950
"202501",7090,0.490,0.000,1.950
"202501",7100,0.490,0.000,1.950
"202501",7110,0.490,0.000,1.950
"202501",7120,0.490,0.000,1.950
"202501",7130,0.490,0.000,1.950
"202501",7140,0.490,0.000,1.950
"202501",7150,0.490,0.000,1.950
"202501",7160,0.490,0.000,1.950
"202501",7170,0.490,0.000,1.950
"202501",7180,0.490,0.000,1.950
"202501",7190,0.490,0.000,1.950
"202501",7200,0.490,0.000,2.070
"202501",7210,0.490,0.000,2.070
"202501",7220,0.490,0.000,2.070
"202501",7230,0.490,0.000,2.070
"202501",7240,0.490,0.000,2.070
"202501",7250,0.490,0.000,2.070
"202501",7260,0.490,0.000,2.070
"202501",7270,0.490,0.000,2.070
"202501",7280,0.490,0.000,2.070
"202501",7290,0.490,0.000,2.070
"202501",7300,0.490,0.000,2.070
"202501",7310,0.490,0.000,2.070
"202501",7320,0.490,0.000,2.070
"202501",7330,0.490,0.000,2.070
"202501",7340,0.490,0.000,2.070
"202501",7350,0.490,0.000,2.070
"202501",7360,0.490,0.000,2.070
"202501",7370,0.490,0.000,2.070
"202501",7380,0.490,0.000,2.070
"202501",7390,0.490,0.000,2.070
"202501",7400,0.490,0.000,2.070
"202501",7410,0.490,0.000,2.070
"202501",7420,0.490,0.000,2.070
"202501",7430,0.490,0.000,2.070
"202501",7440,0.490,0.000,2.070
"202501",7450,0.490,0.000,2.070
"202501",7460,0.490,0.000,2.070
"202501",7470,0.490,0.000,2.070
"202501",7480,0.490,0.000,2.070
"202501",7490,0.490,0.000,2.070
"202501",7500,0.510,0.000,2.120
"202501",7510,0.510,0.000,2.120
"202501",7520,0.510,0.000,2.120
"202501",7530,0.510,0.000,2.120
"202501",7540,0.510,0.000,2.120
"202501",7550,0.510,0.000,2.120
"202501",7560,0.510,0.000,2.120
"202501",7570,0.510,0.000,2.120
"202501",7580,0.510,0.000,2.120
"202501",7590,0.510,0.000,2.120
"202501",7600,0.510,0.000,2.120
"202501",7610,0.510,0.000,2.120
"202501",7620,0.510,0.000,2.120
"202501",7630,0.510,0.000,2.120
"202501",7640,0.510,0.000,2.120
"202501",7650,0.510,0.000,2.120
"202501",7660,0.510,0.000,2.120
"202501",7700,0.510,0.000,2.120
"202501",7670,0.510,0.000,2.120
"202501",7680,0.510,0.000,2.120
"202501",7690,0.510,0.000,2.120
"202501",7710,0.510,0.000,2.120
"202501",7720,0.510,0.000,2.120
"202501",7730,0.510,0.000,2.120
"202501",7740,0.510,0.000,2.120
"202501",7750,0.510,0.000,2.120
"202501",7760,0.510,0.000,2.120
"202501",7770,0.510,0.000,2.120
"202501",7780,0.510,0.000,2.120
"202501",7790,0.510,0.000,2.120
"202501",7800,0.510,0.000,2.120
"202501",7810,0.510,0.000,2.120
"202501",7820,0.510,0.000,2.120
"202501",7830,0.510,0.000,2.120
"202501",7840,0.510,0.000,2.120
"202501",7850,0.510,0.000,2.120
"202501",7860,0.510,0.000,2.120
"202501",7870,0.510,0.000,2.120
"202501",7880,0.510,0.000,2.120
"202501",7890,0.510,0.000,2.120
"202501",7900,0.510,0.000,2.120
"202501",7910,0.510,0.000,2.120
"202501",7920,0.510,0.000,2.120
"202501",7930,0.510,0.000,2.120
"202501",7940,0.510,0.000,2.120
"202501",7950,0.510,0.000,2.120
"202501",7960,0.510,0.000,2.120
"202501",7970,0.510,0.000,2.120
"202501",7980,0.510,0.000,2.120
"202501",7990,0.510,0.000,2.120
"202501",8000,0.510,0.000,2.120
"202501",8010,0.510,0.000,2.120
"202501",8020,0.510,0.000,2.120
"202501",8030,0.510,0.000,2.120
"202501",8040,0.510,0.000,2.120
"202501",8050,0.510,0.000,2.120
"202501",8060,0.510,0.000,2.120
"202501",8070,0.510,0.000,2.120
"202501",8080,0.510,0.000,2.120
"202501",8090,0.510,0.000,2.120
"202501",8100,0.510,0.000,2.120
"202501",8110,0.510,0.000,2.120
"202501",8120,0.510,0.000,2.120
"202501",8130,0.510,0.000,2.120
"202501",8140,0.510,0.000,2.120
"202501",8150,0.510,0.000,2.120
"202501",8160,0.510,0.000,2.120
"202501",8170,0.510,0.000,2.120
"202501",8180,0.510,0.000,2.120
"202501",8190,0.510,0.000,2.120
"202501",8200,0.510,0.000,2.120
"202501",8210,0.510,0.000,2.120
"202501",8220,0.510,0.000,2.120
"202501",8230,0.510,0.000,2.120
"202501",8240,0.510,0.000,2.120
"202501",8250,0.510,0.000,2.120
"202501",8260,0.510,0.000,2.120
"202501",8270,0.510,0.000,2.120
"202501",8280,0.510,0.000,2.120
"202501",8290,0.510,0.000,2.120
"202501",8300,0.510,0.000,2.120
"202501",8310,0.510,0.000,2.120
"202501",8320,0.510,0.000,2.120
"202501",8330,0.510,0.000,2.120
"202501",8340,0.510,0.000,2.120
"202501",8350,0.510,0.000,2.120
"202501",8360,0.510,0.000,2.120
"202501",8370,0.510,0.000,2.120
"202501",8380,0.510,0.000,2.120
"202501",8390,0.510,0.000,2.120
"202501",8400,0.510,0.000,2.120
"202501",8410,0.510,0.000,2.120
"202501",8420,0.510,0.000,2.120
"202501",8430,0.510,0.000,2.120
"202501",8440,0.510,0.000,2.120
"202501",8450,0.510,0.000,2.120
"202501",8460,0.510,0.000,2.120
"202501",8470,0.510,0.000,2.120
"202501",8480,0.510,0.000,2.120
"202501",8490,0.510,0.000,2.120
"202501",8500,0.510,0.000,2.120
"202501",8510,0.510,0.000,2.120
"202501",8520,0.510,0.000,2.120
"202501",8530,0.510,0.000,2.120
"202501",8540,0.510,0.000,2.120
"202501",8550,0.510,0.000,2.120
"202501",8560,0.510,0.000,2.120
"202501",8570,0.510,0.000,2.120
"202501",8580,0.510,0.000,2.120
"202501",8590,0.510,0.000,2.120
"202501",8600,0.510,0.000,2.120
"202501",8610,0.510,0.000,2.120
"202501",8620,0.510,0.000,2.120
"202501",8630,0.510,0.000,2.120
"202501",8640,0.510,0.000,2.120
"202501",8650,0.510,0.000,2.120
"202501",8660,0.510,0.000,2.120
"202501",8670,0.510,0.000,2.120
"202501",8680,0.510,0.000,2.120
"202501",8690,0.510,0.000,2.120
"202501",8700,0.510,0.000,2.120
"202501",8710,0.510,0.000,2.120
"202501",8720,0.510,0.000,2.120
"202501",8730,0.510,0.000,2.120
"202501",8740,0.510,0.000,2.120
"202501",8750,0.510,0.000,2.120
"202501",8760,0.510,0.000,2.120
"202501",8770,0.510,0.000,2.120
"202501",8780,0.510,0.000,2.120
"202501",8790,0.510,0.000,2.120
"202501",8800,0.690,0.000,2.210
"202501",8810,0.690,0.000,2.210
"202501",8820,0.690,0.000,2.210
"202501",8830,0.690,0.000,2.210
"202501",8840,0.690,0.000,2.210
"202501",8850,0.690,0.000,2.210
"202501",8890,0.690,0.000,2.210
"202501",8860,0.690,0.000,2.210
"202501",8870,0.690,0.000,2.210
"202501",8880,0.690,0.000,2.210
"202501",8900,0.690,0.000,2.210
"202501",8910,0.690,0.000,2.210
"202501",8920,0.690,0.000,2.210
"202501",8930,0.690,0.000,2.210
"202501",8940,0.690,0.000,2.210
"202501",8950,0.690,0.000,2.250
"202501",8960,0.690,0.000,2.250
"202501",8970,0.690,0.000,2.250
"202501",8980,0.690,0.000,2.250
"202501",8990,0.690,0.000,2.250
"202501",9000,0.690,0.000,2.250
"202501",9010,0.690,0.000,2.250
"202501",9020,0.690,0.000,2.250
"202501",9030,0.690,0.000,2.250
"202501",9040,0.690,0.000,2.250
"202501",9050,0.690,0.000,2.250
"202501",9060,0.690,0.000,2.250
"202501",9070,0.690,0.000,2.250
"202501",9080,0.690,0.000,2.250
"202501",9090,0.690,0.000,2.250
"202501",9100,0.690,0.000,2.250
"202501",9110,0.690,0.000,2.250
"202501",9120,0.690,0.000,2.250
"202501",9130,0.690,0.000,2.250
"202501",9140,0.690,0.000,2.250
"202501",9150,0.690,0.000,2.250
"202501",9160,0.690,0.000,2.250
"202501",9170,0.690,0.000,2.250
"202501",9180,0.690,0.000,2.250
"202501",9190,0.690,0.000,2.250
"202501",9200,0.690,0.000,2.250
"202501",9210,0.690,0.000,2.250
"202501",9220,0.690,0.000,2.250
"202501",9230,0.690,0.000,2.250
"202501",9240,0.690,0.000,2.250
"202501",9250,0.690,0.000,2.250
"202501",9260,0.690,0.000,2.250
"202501",9270,0.690,0.000,2.250
"202501",9280,0.690,0.000,2.250
"202501",9290,0.690,0.000,2.250
"202501",9300,0.690,0.000,2.250
"202501",9310,0.690,0.000,2.250
"202501",9320,0.690,0.000,2.250
"202501",9330,0.690,0.000,2.250
"202501",9340,0.690,0.000,2.250
"202501",9350,0.690,0.000,2.250
"202501",9360,0.690,0.000,2.250
"202501",9370,0.690,0.000,2.250
"202501",9380,0.690,0.000,2.250
"202501",9390,0.690,0.000,2.250
"202501",9400,0.690,0.000,2.250
"202501",9410,0.690,0.000,2.250
"202501",9420,0.690,0.000,2.250
"202501",9430,0.690,0.000,2.250
"202501",9440,0.690,0.000,2.250
"202501",9450,0.690,0.000,2.250
"202501",9460,0.690,0.000,2.250
"202501",9470,0.690,0.000,2.250
"202501",9480,0.690,0.000,2.250
"202501",9490,0.690,0.000,2.250
"202501",9500,0.690,0.000,2.250
"202501",9510,0.690,0.000,2.250
"202501",9520,0.690,0.000,2.250
"202501",9530,0.690,0.000,2.250
"202501",9540,0.690,0.000,2.250
"202501",9550,0.690,0.000,2.250
"202501",9560,0.690,0.000,2.250
"202501",9570,0.690,0.000,2.250
"202501",9580,0.690,0.000,2.250
"202501",9590,0.690,0.000,2.250
"202501",9600,0.690,0.000,2.250
"202501",9610,0.690,0.000,2.250
"202501",9620,0.690,0.000,2.250
"202501",9630,0.690,0.000,2.250
"202501",9640,0.690,0.000,2.250
"202501",9650,0.690,0.000,2.250
"202501",9660,0.690,0.000,2.250
"202501",9670,0.690,0.000,2.250
"202501",9680,0.690,0.000,2.250
"202501",9690,0.690,0.000,2.250
"202501",9700,0.690,0.000,2.250
"202501",9710,0.690,0.000,2.250
"202501",9720,0.690,0.000,2.250
"202501",9730,0.690,0.000,2.250
"202501",9740,0.690,0.000,2.250
"202501",9750,0.690,0.000,2.250
"202501",9760,0.690,0.000,2.250
"202501",9770,0.690,0.000,2.250
"202501",9780,0.690,0.000,2.250
"202501",9790,0.690,0.000,2.250
"202501",9800,0.820,0.000,2.350
